{'session': 'coco_eps', 'data_root': '/dataset/coco/JPEGImages/train2014', 'dataset': 'coco', 'saliency_root': '/dataset/coco/SALImages/', 'train_list': 'metadata/coco/train.txt', 'val_list': 'metadata/voc12/val.txt', 'save_root': '/log', 'batch_size': 16, 'iter_size': 1, 'crop_size': 321, 'resize_size': [256, 448], 'network': 'network.resnet38_eps', 'weights': 'pretrained/ilsvrc-cls_rna-a1_cls1000_ep-0001.params', 'max_epoches': 15, 'lr': 0.01, 'num_workers': 8, 'wt_dec': 0.0005, 'loss_type': 'mse', 'eval': None, 'num_sample': 21, 'max_iters': 256500, 'tau': 0.4, 'lam': 0.9, 'num_classes': 80, 'network_type': 'eps', 'log_folder': '/log/coco_eps'}
Session started:  Wed Aug 25 09:00:13 2021
Iter:    0/256500 Loss_Cls:0.7590 Loss_Sal:0.1380 Rem:6 days, 20:00:27 lr: 0.0100
Iter:   50/256500 Loss_Cls:0.1795 Loss_Sal:0.1105 Rem:18:51:28 lr: 0.0100
Iter:  100/256500 Loss_Cls:0.1466 Loss_Sal:0.1019 Rem:17:30:23 lr: 0.0100
Iter:  150/256500 Loss_Cls:0.1395 Loss_Sal:0.0999 Rem:17:03:38 lr: 0.0100
Iter:  200/256500 Loss_Cls:0.1382 Loss_Sal:0.0931 Rem:16:50:18 lr: 0.0100
Iter:  250/256500 Loss_Cls:0.1366 Loss_Sal:0.0936 Rem:16:42:36 lr: 0.0100
Iter:  300/256500 Loss_Cls:0.1304 Loss_Sal:0.0898 Rem:16:37:19 lr: 0.0100
Iter:  350/256500 Loss_Cls:0.1331 Loss_Sal:0.0882 Rem:16:33:25 lr: 0.0100
Iter:  400/256500 Loss_Cls:0.1297 Loss_Sal:0.0822 Rem:16:30:35 lr: 0.0100
Iter:  450/256500 Loss_Cls:0.1278 Loss_Sal:0.0899 Rem:16:28:25 lr: 0.0099
Iter:  500/256500 Loss_Cls:0.1266 Loss_Sal:0.0821 Rem:16:26:43 lr: 0.0099
Iter:  550/256500 Loss_Cls:0.1186 Loss_Sal:0.0776 Rem:16:25:13 lr: 0.0099
Iter:  600/256500 Loss_Cls:0.1234 Loss_Sal:0.0794 Rem:16:23:56 lr: 0.0099
Iter:  650/256500 Loss_Cls:0.1176 Loss_Sal:0.0792 Rem:16:22:47 lr: 0.0099
Iter:  700/256500 Loss_Cls:0.1174 Loss_Sal:0.0823 Rem:16:21:46 lr: 0.0099
Iter:  750/256500 Loss_Cls:0.1108 Loss_Sal:0.0786 Rem:16:20:42 lr: 0.0099
Iter:  800/256500 Loss_Cls:0.1098 Loss_Sal:0.0767 Rem:16:19:53 lr: 0.0099
Iter:  850/256500 Loss_Cls:0.1104 Loss_Sal:0.0788 Rem:16:19:06 lr: 0.0099
Iter:  900/256500 Loss_Cls:0.1061 Loss_Sal:0.0741 Rem:16:18:20 lr: 0.0099
Iter:  950/256500 Loss_Cls:0.1082 Loss_Sal:0.0712 Rem:16:17:36 lr: 0.0099
Iter: 1000/256500 Loss_Cls:0.1078 Loss_Sal:0.0771 Rem:16:16:50 lr: 0.0099
Iter: 1050/256500 Loss_Cls:0.1044 Loss_Sal:0.0726 Rem:16:16:03 lr: 0.0099
Iter: 1100/256500 Loss_Cls:0.1041 Loss_Sal:0.0730 Rem:16:15:17 lr: 0.0099
Iter: 1150/256500 Loss_Cls:0.1044 Loss_Sal:0.0715 Rem:16:14:37 lr: 0.0099
Iter: 1200/256500 Loss_Cls:0.1029 Loss_Sal:0.0746 Rem:16:13:57 lr: 0.0099
Iter: 1250/256500 Loss_Cls:0.1025 Loss_Sal:0.0733 Rem:16:13:15 lr: 0.0099
Iter: 1300/256500 Loss_Cls:0.1045 Loss_Sal:0.0730 Rem:16:12:35 lr: 0.0098
Iter: 1350/256500 Loss_Cls:0.1007 Loss_Sal:0.0730 Rem:16:11:52 lr: 0.0098
Iter: 1400/256500 Loss_Cls:0.1011 Loss_Sal:0.0692 Rem:16:11:14 lr: 0.0098
Iter: 1450/256500 Loss_Cls:0.0995 Loss_Sal:0.0706 Rem:16:10:34 lr: 0.0098
Iter: 1500/256500 Loss_Cls:0.0983 Loss_Sal:0.0743 Rem:16:09:55 lr: 0.0098
Iter: 1550/256500 Loss_Cls:0.0957 Loss_Sal:0.0742 Rem:16:09:15 lr: 0.0098
Iter: 1600/256500 Loss_Cls:0.0932 Loss_Sal:0.0704 Rem:16:08:36 lr: 0.0098
Iter: 1650/256500 Loss_Cls:0.0990 Loss_Sal:0.0714 Rem:16:07:59 lr: 0.0098
Iter: 1700/256500 Loss_Cls:0.0924 Loss_Sal:0.0708 Rem:16:07:21 lr: 0.0098
Iter: 1750/256500 Loss_Cls:0.0940 Loss_Sal:0.0725 Rem:16:06:41 lr: 0.0098
Iter: 1800/256500 Loss_Cls:0.0952 Loss_Sal:0.0682 Rem:16:06:02 lr: 0.0098
Iter: 1850/256500 Loss_Cls:0.0904 Loss_Sal:0.0700 Rem:16:05:23 lr: 0.0098
Iter: 1900/256500 Loss_Cls:0.0965 Loss_Sal:0.0668 Rem:16:04:45 lr: 0.0098
Iter: 1950/256500 Loss_Cls:0.0933 Loss_Sal:0.0705 Rem:16:04:06 lr: 0.0098
Iter: 2000/256500 Loss_Cls:0.0913 Loss_Sal:0.0649 Rem:16:03:29 lr: 0.0098
Iter: 2050/256500 Loss_Cls:0.0908 Loss_Sal:0.0663 Rem:16:02:51 lr: 0.0098
Iter: 2100/256500 Loss_Cls:0.0925 Loss_Sal:0.0667 Rem:16:02:12 lr: 0.0098
Iter: 2150/256500 Loss_Cls:0.0941 Loss_Sal:0.0656 Rem:16:01:33 lr: 0.0097
Iter: 2200/256500 Loss_Cls:0.0933 Loss_Sal:0.0672 Rem:16:00:55 lr: 0.0097
Iter: 2250/256500 Loss_Cls:0.0928 Loss_Sal:0.0642 Rem:16:00:16 lr: 0.0097
Iter: 2300/256500 Loss_Cls:0.0924 Loss_Sal:0.0659 Rem:15:59:38 lr: 0.0097
Iter: 2350/256500 Loss_Cls:0.0904 Loss_Sal:0.0675 Rem:15:58:58 lr: 0.0097
Iter: 2400/256500 Loss_Cls:0.0922 Loss_Sal:0.0654 Rem:15:58:20 lr: 0.0097
Iter: 2450/256500 Loss_Cls:0.0898 Loss_Sal:0.0660 Rem:15:57:43 lr: 0.0097
Iter: 2500/256500 Loss_Cls:0.0906 Loss_Sal:0.0670 Rem:15:57:03 lr: 0.0097
Iter: 2550/256500 Loss_Cls:0.0898 Loss_Sal:0.0633 Rem:15:56:25 lr: 0.0097
Iter: 2600/256500 Loss_Cls:0.0905 Loss_Sal:0.0659 Rem:15:55:47 lr: 0.0097
Iter: 2650/256500 Loss_Cls:0.0878 Loss_Sal:0.0639 Rem:15:55:08 lr: 0.0097
Iter: 2700/256500 Loss_Cls:0.0888 Loss_Sal:0.0659 Rem:15:54:29 lr: 0.0097
Iter: 2750/256500 Loss_Cls:0.0895 Loss_Sal:0.0622 Rem:15:53:50 lr: 0.0097
Iter: 2800/256500 Loss_Cls:0.0881 Loss_Sal:0.0626 Rem:15:53:11 lr: 0.0097
Iter: 2850/256500 Loss_Cls:0.0891 Loss_Sal:0.0682 Rem:15:52:32 lr: 0.0097
